applicant_id,gender,race,age,years_experience,interview_score,hired
1,M,white,28,4,0.82,1
2,F,white,31,6,0.79,1
3,M,black,35,8,0.74,0
4,F,asian,27,3,0.85,1
5,M,hispanic,45,12,0.71,0
6,F,black,29,5,0.68,0
7,M,white,38,10,0.88,1
8,F,hispanic,33,7,0.65,0
9,M,asian,26,2,0.91,1
10,M,white,41,14,0.83,1
11,F,white,30,5,0.77,1
12,F,black,32,6,0.62,0
13,M,black,37,9,0.69,0
14,F,asian,28,4,0.80,1
15,M,hispanic,44,13,0.64,0
16,F,hispanic,35,8,0.66,0
17,M,white,29,4,0.86,1
18,F,white,33,7,0.81,1
19,M,black,40,11,0.72,0
20,F,asian,27,3,0.84,1
21,M,hispanic,39,10,0.63,0
22,F,black,31,5,0.60,0
23,M,white,34,8,0.87,1
24,F,white,32,6,0.78,1
25,M,asian,25,2,0.90,1
26,F,hispanic,36,9,0.61,0
27,M,black,42,12,0.70,0
28,F,asian,29,4,0.82,1
29,M,white,31,5,0.85,1
30,F,white,28,3,0.76,1
31,F,black,34,7,0.59,0
32,M,hispanic,41,11,0.67,0
33,M,asian,26,3,0.89,1
34,F,white,30,5,0.80,1
35,F,asian,28,4,0.83,1
36,M,black,38,10,0.73,0
37,F,hispanic,32,6,0.65,0
38,M,white,35,8,0.84,1
39,M,hispanic,43,13,0.66,0
40,F,black,30,5,0.63,0
41,M,white,27,3,0.81,1
42,F,asian,31,6,0.86,1
43,F,white,29,4,0.79,1
44,M,black,36,9,0.71,0
45,M,hispanic,40,11,0.68,0
46,F,hispanic,34,7,0.64,0
47,M,white,33,7,0.87,1
48,F,black,32,6,0.61,0
49,M,asian,28,4,0.88,1
50,F,white,30,5,0.78,1
